trip_id,stop_id,next_stop_id,travel_time,u,v
4_I12-002_2023I12_2_1_4__2___,par_4_322,par_4_323,213.0,39,40
4_I12-002_2023I12_2_1_4__2___,par_4_323,par_4_324,162.0,40,41
4_I12-002_2023I12_2_1_4__2___,par_4_324,par_4_325,129.0,41,42
4_I12-004_2023I12_1_1_4__4___,par_4_54,par_4_55,130.0,56,57
4_I12-004_2023I12_1_1_4__4___,par_4_55,par_4_56,63.0,57,58
4_I12-004_2023I12_1_1_4__4___,par_4_56,par_4_57,69.0,58,59
4_I12-004_2023I12_1_1_4__4___,par_4_57,par_4_58,61.0,59,60
4_I12-004_2023I12_1_1_4__4___,par_4_58,par_4_59,80.0,60,61
4_I12-004_2023I12_1_1_4__4___,par_4_59,par_4_60,58.0,61,62
4_I12-004_2023I12_1_1_4__4___,par_4_60,par_4_61,78.0,62,63
4_I12-004_2023I12_1_1_4__4___,par_4_61,par_4_62,91.0,63,64
4_I12-004_2023I12_1_1_4__4___,par_4_62,par_4_63,90.0,64,65
4_I12-004_2023I12_1_1_4__4___,par_4_63,par_4_64,83.0,65,66
4_I12-004_2023I12_1_1_4__4___,par_4_64,par_4_65,126.0,66,67
4_I12-004_2023I12_1_1_4__4___,par_4_65,par_4_66,137.0,67,68
4_I12-004_2023I12_1_1_4__4___,par_4_66,par_4_67,101.0,68,69
4_I12-004_2023I12_1_1_4__4___,par_4_67,par_4_68,122.0,69,70
4_I12-004_2023I12_1_1_4__4___,par_4_68,par_4_69,134.0,70,71
4_I12-004_2023I12_1_1_4__4___,par_4_69,par_4_70,206.0,71,72
4_I12-004_2023I12_1_1_4__4___,par_4_70,par_4_71,101.0,72,73
4_I12-004_2023I12_1_1_4__4___,par_4_71,par_4_72,78.0,73,74
4_I12-004_2023I12_1_1_4__4___,par_4_72,par_4_73,110.0,74,75
4_I12-004_2023I12_1_1_4__4___,par_4_73,par_4_264,111.0,75,53
4_I12-004_2023I12_1_1_4__4___,par_4_264,par_4_265,171.0,53,54
4_I12-004_2023I12_1_1_4__4___,par_4_265,par_4_266,97.0,54,55
4_I12-004_2023I12_2_1_4__4___,par_4_266,par_4_265,97.0,55,54
4_I12-004_2023I12_2_1_4__4___,par_4_265,par_4_264,172.0,54,53
4_I12-004_2023I12_2_1_4__4___,par_4_264,par_4_73,110.0,53,75
4_I12-004_2023I12_2_1_4__4___,par_4_73,par_4_72,110.0,75,74
4_I12-004_2023I12_2_1_4__4___,par_4_72,par_4_71,78.0,74,73
4_I12-004_2023I12_2_1_4__4___,par_4_71,par_4_70,101.0,73,72
4_I12-004_2023I12_2_1_4__4___,par_4_70,par_4_69,207.0,72,71
4_I12-004_2023I12_2_1_4__4___,par_4_69,par_4_68,134.0,71,70
4_I12-004_2023I12_2_1_4__4___,par_4_68,par_4_67,121.0,70,69
4_I12-004_2023I12_2_1_4__4___,par_4_67,par_4_66,102.0,69,68
4_I12-004_2023I12_2_1_4__4___,par_4_66,par_4_65,137.0,68,67
4_I12-004_2023I12_2_1_4__4___,par_4_65,par_4_64,126.0,67,66
